,0
0,-704.0
1,-767.0
2,-794.0
3,-830.0
4,-722.0
5,-713.0
6,-531.0
7,-830.0
8,-722.0
9,-722.0
10,-668.0
11,-731.0
12,-614.0
13,-549.0
14,-776.0
15,-803.0
16,-821.0
17,-668.0
18,-731.0
19,-749.0
20,-794.0
21,-390.0
22,-722.0
23,-740.0
24,-641.0
25,-632.0
26,-467.0
27,-740.0
28,-632.0
29,-641.0
30,-650.0
31,-695.0
32,-677.0
33,-231.0
34,-605.0
35,-569.0
36,-641.0
37,-704.0
38,-623.0
39,-686.0
40,-587.0
41,-578.0
42,-533.0
43,-632.0
44,-587.0
45,-677.0
46,-596.0
47,-370.0
48,-587.0
49,-596.0
50,-551.0
51,-408.0
52,-551.0
53,-551.0
54,-605.0
55,-488.0
56,-632.0
57,-542.0
58,-614.0
59,-174.0
60,-480.0
61,-578.0
62,-569.0
63,-551.0
64,-560.0
65,-364.0
66,-506.0
67,-578.0
68,-497.0
69,-533.0
70,-461.0
71,-578.0
72,-470.0
73,-479.0
74,-407.0
75,-533.0
76,-596.0
77,-542.0
78,-587.0
79,-461.0
80,-524.0
81,-551.0
82,-434.0
83,-497.0
84,-434.0
85,-488.0
86,-488.0
87,-470.0
88,-452.0
89,-443.0
90,-560.0
91,-398.0
92,-452.0
93,-407.0
94,-389.0
95,-266.0
96,-398.0
97,-443.0
98,-402.0
99,-470.0
100,-443.0
101,-416.0
102,-362.0
103,-452.0
104,-197.0
105,-389.0
106,-353.0
107,-432.0
108,-104.0
109,-407.0
110,-371.0
111,-282.0
112,-264.0
113,-389.0
114,-380.0
115,-178.0
116,-335.0
117,-389.0
118,-416.0
119,-362.0
120,-327.0
121,-261.0
122,-425.0
123,-16.0
124,-389.0
125,-353.0
126,-398.0
127,-146.0
128,-434.0
129,-287.0
130,-362.0
131,-353.0
132,-191.0
133,-335.0
134,-120.0
135,-380.0
136,-398.0
137,-371.0
138,-308.0
139,-182.0
140,-353.0
141,-198.0
142,-389.0
143,-344.0
144,-362.0
145,-126.0
146,-194.0
147,-150.0
148,-335.0
149,-276.0
150,-317.0
151,-380.0
152,-326.0
153,-290.0
154,-253.0
155,7.0
156,-326.0
157,-154.0
158,-6.0
159,-326.0
160,-380.0
161,-371.0
162,-299.0
163,-308.0
164,-13.0
165,-185.0
166,-204.0
167,-90.0
168,-299.0
169,-326.0
170,-299.0
171,-156.0
172,-92.0
173,-250.0
174,-245.0
175,-215.0
176,-272.0
177,-317.0
178,-308.0
179,-262.0
180,-128.0
181,-344.0
182,-290.0
183,-12.0
184,-299.0
185,-335.0
186,-27.0
187,-344.0
188,-335.0
189,-148.0
190,-308.0
191,-79.0
192,-187.0
193,-133.0
194,-206.0
195,-290.0
196,-170.0
197,-281.0
198,-174.0
199,-344.0
200,-151.0
201,-121.0
202,-127.0
203,-272.0
204,-153.0
205,-272.0
206,-192.0
207,-290.0
208,-141.0
209,-272.0
210,-162.0
211,-272.0
212,-182.0
213,-13.0
214,-61.0
215,-262.0
216,-308.0
217,-281.0
218,-126.0
219,-88.0
220,-263.0
221,-143.0
222,-254.0
223,-53.0
224,-245.0
225,-135.0
226,-89.0
227,-190.0
228,-6.0
229,-254.0
230,-119.0
231,-146.0
232,-239.0
233,-245.0
234,-245.0
235,-121.0
236,-21.0
237,-186.0
238,-34.0
239,-254.0
240,-172.0
241,-245.0
242,-227.0
243,-54.0
244,-106.0
245,-36.0
246,-34.0
247,-236.0
248,-236.0
249,-224.0
250,-113.0
251,-161.0
252,-84.0
253,-170.0
254,-59.0
255,-211.0
256,-263.0
257,-71.0
258,-95.0
259,-225.0
260,-120.0
261,-245.0
262,-113.0
263,-47.0
264,-52.0
265,-161.0
266,-245.0
267,-144.0
268,-54.0
269,-67.0
270,-29.0
271,-31.0
272,-120.0
273,-212.0
274,-61.0
275,-263.0
276,-4.0
277,12.0
278,-229.0
279,-145.0
280,-131.0
281,-128.0
282,-245.0
283,-9.0
284,-281.0
285,-281.0
286,-43.0
287,-7.0
288,-106.0
289,-36.0
290,-113.0
291,12.0
292,-148.0
293,-160.0
294,-254.0
295,-107.0
296,-199.0
297,-254.0
298,-91.0
299,-209.0
300,-55.0
301,-16.0
302,-227.0
303,-175.0
304,-87.0
305,-149.0
306,-82.0
307,-93.0
308,-116.0
309,-71.0
310,-110.0
311,-236.0
312,-180.0
313,0.0
314,-272.0
315,-102.0
316,-200.0
317,-35.0
318,-49.0
319,-54.0
320,-245.0
321,-156.0
322,12.0
323,-109.0
324,-136.0
325,-74.0
326,-75.0
327,-209.0
328,-51.0
329,-43.0
330,10.0
