,0
0,-830.0
1,-677.0
2,-167.0
3,-902.0
4,-704.0
5,-821.0
6,-713.0
7,-740.0
8,-794.0
9,-677.0
10,-785.0
11,-731.0
12,-776.0
13,-704.0
14,-749.0
15,-596.0
16,-704.0
17,-776.0
18,-803.0
19,-758.0
20,-704.0
21,-704.0
22,-785.0
23,-722.0
24,-650.0
25,-713.0
26,-722.0
27,-731.0
28,-632.0
29,-614.0
30,-659.0
31,-695.0
32,-668.0
33,-677.0
34,-713.0
35,-596.0
36,-659.0
37,-704.0
38,-677.0
39,-722.0
40,-632.0
41,-614.0
42,-650.0
43,-668.0
44,-495.0
45,-332.0
46,-524.0
47,-596.0
48,-560.0
49,-252.0
50,-587.0
51,-524.0
52,-551.0
53,-569.0
54,-551.0
55,-349.0
56,-560.0
57,-650.0
58,-677.0
59,-578.0
60,-368.0
61,-515.0
62,-524.0
63,-569.0
64,-587.0
65,-497.0
66,-336.0
67,-407.0
68,-17.0
69,-461.0
70,-515.0
71,-227.0
72,-434.0
73,-479.0
74,-301.0
75,-452.0
76,-343.0
77,-398.0
78,-479.0
79,-461.0
80,-587.0
81,-127.0
82,-416.0
83,-381.0
84,-470.0
85,-533.0
86,-434.0
87,-470.0
88,-101.0
89,-506.0
90,-218.0
91,-96.0
92,-323.0
93,-533.0
94,-488.0
95,-108.0
96,-215.0
97,-201.0
98,-368.0
99,-302.0
100,-241.0
101,-407.0
102,-425.0
103,-416.0
104,-171.0
105,-209.0
106,-274.0
107,-352.0
108,-389.0
109,-416.0
110,-37.0
111,-132.0
112,-374.0
113,-271.0
114,-380.0
115,-71.0
116,-380.0
117,-380.0
118,-88.0
119,-371.0
120,0.0
121,-323.0
122,2.0
123,-262.0
124,-362.0
125,-53.0
126,-136.0
127,-131.0
128,-239.0
129,-452.0
130,-122.0
131,-398.0
132,-1.0
133,-146.0
134,-223.0
135,-121.0
136,-118.0
137,-297.0
138,-362.0
139,-407.0
140,-362.0
141,-123.0
142,-167.0
143,-251.0
144,-362.0
145,-132.0
146,-202.0
147,-299.0
148,-214.0
149,-344.0
150,-7.0
151,-124.0
152,-306.0
153,-214.0
154,-326.0
155,-212.0
156,0.0
157,-317.0
158,-184.0
159,-248.0
160,-175.0
161,-77.0
162,-169.0
163,-161.0
164,-83.0
165,-53.0
166,-14.0
167,-335.0
168,-29.0
169,-299.0
170,-84.0
171,-260.0
172,-335.0
173,-254.0
174,-147.0
175,-26.0
176,-26.0
177,-157.0
178,-36.0
179,-127.0
180,-122.0
181,-126.0
182,-208.0
183,-144.0
184,-158.0
185,10.0
186,-234.0
187,-22.0
188,-89.0
189,-235.0
190,-25.0
191,-111.0
192,-45.0
193,-18.0
194,-135.0
195,-152.0
196,-69.0
197,15.0
198,-136.0
199,-73.0
200,-146.0
201,-73.0
202,-135.0
203,-3.0
204,-89.0
205,-266.0
206,-34.0
207,-67.0
208,-177.0
209,-88.0
210,4.0
211,-146.0
212,-136.0
213,-191.0
214,-13.0
215,-142.0
216,-65.0
217,-263.0
218,-75.0
219,-42.0
220,-96.0
221,11.0
222,-168.0
223,-25.0
224,-16.0
225,-14.0
226,-157.0
227,10.0
228,12.0
229,-72.0
230,-220.0
231,-24.0
232,-146.0
233,2.0
234,-47.0
235,14.0
236,-63.0
237,-49.0
238,-75.0
239,-111.0
240,-106.0
241,13.0
242,-91.0
243,-137.0
244,-281.0
245,-2.0
246,4.0
247,-9.0
248,-41.0
249,14.0
250,-198.0
251,-58.0
252,-141.0
253,0.0
254,-8.0
255,4.0
256,-150.0
257,-26.0
258,-47.0
259,-242.0
260,-75.0
261,-47.0
262,-36.0
263,-115.0
264,-158.0
265,-41.0
266,-65.0
267,-25.0
268,-3.0
269,-38.0
270,-28.0
271,-78.0
272,10.0
273,-16.0
274,14.0
275,-29.0
276,-34.0
277,-43.0
278,-26.0
279,-12.0
280,-135.0
281,-35.0
282,-20.0
283,-114.0
284,0.0
285,-2.0
286,-96.0
287,-36.0
288,10.0
289,4.0
290,-22.0
291,-24.0
292,-7.0
293,1.0
294,-77.0
295,-1.0
296,1.0
297,-68.0
298,5.0
299,0.0
300,10.0
301,-30.0
302,9.0
303,-22.0
304,4.0
305,4.0
306,-6.0
307,-6.0
308,-106.0
309,-39.0
310,-74.0
311,-58.0
312,-14.0
313,-39.0
314,1.0
315,-9.0
316,-4.0
317,-26.0
318,2.0
319,-13.0
320,5.0
321,9.0
322,13.0
323,13.0
324,-30.0
325,-28.0
326,-10.0
327,-29.0
328,13.0
329,-25.0
330,-93.0
331,-21.0
332,11.0
333,-13.0
334,-12.0
335,8.0
336,-23.0
337,13.0
338,-59.0
339,-98.0
340,11.0
341,10.0
342,6.0
343,8.0
344,13.0
345,1.0
346,-70.0
347,10.0
348,11.0
349,-4.0
350,9.0
351,9.0
352,8.0
353,11.0
354,13.0
355,10.0
356,-110.0
357,9.0
358,12.0
359,-6.0
360,-11.0
361,7.0
362,-3.0
363,5.0
364,-44.0
365,9.0
366,-93.0
367,8.0
368,12.0
369,-34.0
370,13.0
371,10.0
372,7.0
373,-13.0
374,-75.0
375,-15.0
376,-68.0
377,8.0
378,-11.0
379,7.0
380,11.0
381,-116.0
382,9.0
383,14.0
384,-57.0
385,-62.0
386,-3.0
387,-43.0
388,-7.0
389,9.0
390,-10.0
391,12.0
392,-29.0
393,-56.0
394,-13.0
395,-10.0
396,4.0
397,-16.0
398,-11.0
399,1.0
400,-18.0
401,10.0
402,-2.0
403,10.0
404,11.0
405,-57.0
406,-5.0
407,-13.0
408,3.0
409,10.0
410,7.0
411,-29.0
412,-3.0
413,1.0
414,11.0
415,6.0
416,6.0
417,-11.0
418,-8.0
419,9.0
420,9.0
421,-22.0
422,-64.0
423,9.0
424,-21.0
425,-61.0
426,10.0
427,-3.0
428,8.0
429,9.0
430,-1.0
431,13.0
432,-23.0
433,-10.0
434,7.0
435,-25.0
436,4.0
437,-6.0
438,6.0
439,13.0
440,9.0
441,10.0
442,-8.0
443,-19.0
444,10.0
445,9.0
446,5.0
447,-2.0
448,10.0
449,5.0
450,7.0
451,3.0
452,12.0
453,10.0
454,7.0
455,11.0
456,9.0
457,-22.0
458,1.0
459,10.0
460,-5.0
461,-15.0
462,7.0
463,5.0
464,-2.0
465,-29.0
466,-54.0
467,9.0
468,3.0
469,10.0
470,5.0
471,9.0
472,10.0
473,10.0
474,3.0
475,-14.0
476,-59.0
477,15.0
478,-13.0
479,8.0
480,6.0
481,-36.0
482,11.0
483,4.0
484,9.0
485,-23.0
486,11.0
487,8.0
488,8.0
489,9.0
490,10.0
491,13.0
492,14.0
493,2.0
494,-28.0
495,10.0
496,10.0
497,7.0
498,-11.0
499,-3.0
500,12.0
501,8.0
502,8.0
503,8.0
504,6.0
505,10.0
506,10.0
507,10.0
508,-2.0
509,-5.0
510,7.0
511,7.0
512,13.0
513,9.0
514,-3.0
515,11.0
516,-3.0
517,14.0
518,10.0
519,-3.0
520,9.0
521,-36.0
522,4.0
523,-20.0
524,12.0
525,-2.0
526,7.0
527,3.0
528,12.0
529,4.0
530,-5.0
531,11.0
532,-10.0
533,1.0
534,10.0
535,6.0
536,6.0
537,5.0
538,11.0
539,14.0
540,7.0
541,-7.0
542,6.0
543,6.0
544,14.0
545,8.0
546,8.0
547,-1.0
548,11.0
549,-6.0
550,-4.0
551,6.0
552,-7.0
553,-37.0
554,2.0
555,9.0
556,-11.0
557,4.0
558,12.0
559,9.0
560,13.0
561,-13.0
562,13.0
563,0.0
564,5.0
565,7.0
566,-30.0
567,3.0
568,10.0
569,8.0
570,12.0
571,9.0
572,-13.0
573,12.0
574,9.0
575,7.0
576,-4.0
577,5.0
578,12.0
579,9.0
580,4.0
581,14.0
582,8.0
583,1.0
584,-9.0
585,2.0
586,1.0
587,-43.0
588,-9.0
589,2.0
590,6.0
591,8.0
592,14.0
593,0.0
594,5.0
595,13.0
596,4.0
597,-7.0
598,0.0
599,9.0
600,3.0
601,9.0
602,10.0
603,9.0
604,7.0
605,9.0
606,10.0
607,-35.0
608,6.0
609,12.0
610,12.0
611,8.0
612,7.0
613,6.0
614,2.0
615,2.0
616,4.0
617,5.0
618,9.0
619,6.0
620,10.0
621,6.0
622,6.0
623,-13.0
624,9.0
625,-21.0
626,5.0
627,7.0
628,6.0
629,8.0
630,11.0
631,10.0
632,10.0
633,13.0
634,7.0
635,9.0
636,4.0
637,9.0
638,6.0
639,6.0
640,12.0
641,0.0
642,-15.0
643,7.0
644,2.0
645,-8.0
646,-9.0
647,8.0
648,8.0
649,9.0
650,7.0
651,7.0
652,11.0
653,10.0
654,6.0
655,-6.0
656,7.0
657,8.0
658,7.0
659,6.0
660,11.0
661,13.0
662,10.0
663,10.0
664,11.0
665,12.0
666,8.0
667,8.0
668,9.0
669,2.0
670,7.0
671,6.0
672,6.0
673,9.0
674,11.0
675,7.0
676,-13.0
677,3.0
678,2.0
679,-2.0
680,11.0
681,10.0
682,-3.0
683,6.0
684,-6.0
685,11.0
686,3.0
687,11.0
688,5.0
689,5.0
690,7.0
691,-20.0
692,5.0
693,-4.0
694,5.0
695,4.0
696,-10.0
697,-8.0
698,7.0
699,13.0
700,7.0
701,8.0
702,7.0
703,2.0
704,-15.0
705,2.0
706,10.0
707,-2.0
708,8.0
709,8.0
710,8.0
711,6.0
712,3.0
713,-1.0
714,7.0
715,5.0
716,10.0
717,8.0
718,4.0
719,10.0
720,8.0
721,4.0
722,5.0
723,-2.0
724,7.0
725,9.0
726,6.0
727,13.0
728,5.0
729,8.0
730,4.0
731,8.0
732,8.0
733,11.0
734,1.0
735,8.0
736,9.0
737,12.0
738,-2.0
739,11.0
740,11.0
741,9.0
742,4.0
743,10.0
744,5.0
745,0.0
746,3.0
747,7.0
748,11.0
749,7.0
750,5.0
751,9.0
752,10.0
753,5.0
754,10.0
755,8.0
756,8.0
757,8.0
758,4.0
759,8.0
760,5.0
761,8.0
762,7.0
763,8.0
764,9.0
765,-3.0
766,12.0
767,11.0
768,7.0
769,9.0
770,0.0
771,10.0
772,4.0
773,11.0
774,7.0
775,9.0
776,12.0
777,10.0
778,8.0
779,7.0
780,4.0
781,5.0
782,10.0
783,8.0
784,-11.0
785,11.0
786,8.0
787,7.0
788,7.0
789,-10.0
790,7.0
791,8.0
792,8.0
793,4.0
794,-7.0
795,8.0
796,9.0
797,4.0
798,12.0
799,6.0
800,10.0
801,9.0
802,-7.0
803,10.0
804,6.0
805,8.0
806,7.0
807,7.0
808,7.0
809,13.0
810,7.0
811,9.0
812,8.0
813,9.0
814,1.0
815,10.0
816,9.0
817,8.0
818,15.0
819,9.0
820,13.0
821,10.0
822,2.0
823,5.0
824,9.0
825,6.0
826,4.0
827,6.0
828,5.0
829,7.0
830,8.0
831,-5.0
832,7.0
833,10.0
834,-10.0
835,9.0
836,5.0
837,9.0
838,5.0
839,5.0
840,7.0
841,9.0
842,3.0
843,-2.0
844,7.0
845,8.0
846,10.0
847,5.0
848,8.0
849,10.0
850,6.0
851,9.0
852,7.0
853,4.0
854,9.0
855,10.0
856,13.0
857,8.0
858,5.0
859,3.0
860,11.0
861,14.0
862,4.0
863,8.0
864,1.0
865,2.0
866,10.0
867,10.0
868,5.0
869,7.0
870,-4.0
871,11.0
872,6.0
873,10.0
874,6.0
875,7.0
876,6.0
877,12.0
878,-1.0
879,6.0
880,1.0
881,11.0
882,7.0
883,6.0
884,9.0
885,8.0
886,11.0
887,6.0
888,12.0
889,10.0
890,9.0
891,7.0
892,2.0
893,4.0
894,14.0
895,3.0
896,11.0
897,4.0
898,11.0
899,8.0
900,2.0
901,6.0
902,6.0
903,7.0
904,8.0
905,6.0
906,7.0
907,5.0
908,12.0
909,11.0
910,12.0
911,8.0
912,10.0
913,9.0
914,11.0
915,8.0
916,11.0
917,7.0
918,9.0
919,9.0
920,7.0
921,10.0
922,10.0
923,7.0
924,9.0
925,6.0
926,7.0
927,4.0
928,1.0
929,7.0
930,8.0
931,10.0
932,7.0
933,8.0
934,7.0
935,8.0
936,-1.0
937,6.0
938,11.0
939,6.0
940,7.0
941,10.0
942,9.0
943,10.0
944,12.0
945,2.0
946,12.0
947,7.0
948,8.0
949,5.0
950,11.0
951,7.0
952,11.0
953,6.0
954,9.0
955,6.0
956,6.0
957,3.0
958,9.0
959,1.0
960,9.0
961,14.0
962,11.0
963,6.0
964,11.0
965,-4.0
966,8.0
967,8.0
968,3.0
969,5.0
970,2.0
971,7.0
972,8.0
973,4.0
974,5.0
975,13.0
976,7.0
977,6.0
978,11.0
979,5.0
980,10.0
981,9.0
982,14.0
983,8.0
984,3.0
985,5.0
986,7.0
987,6.0
988,8.0
989,7.0
990,8.0
991,7.0
992,10.0
993,9.0
994,9.0
995,-5.0
996,4.0
997,8.0
998,6.0
999,2.0
1000,7.0
1001,11.0
1002,7.0
1003,6.0
1004,6.0
1005,4.0
1006,14.0
1007,6.0
1008,7.0
1009,9.0
1010,6.0
1011,3.0
1012,10.0
1013,8.0
1014,7.0
1015,-1.0
1016,9.0
1017,6.0
1018,5.0
1019,8.0
1020,4.0
1021,7.0
1022,5.0
1023,9.0
1024,-1.0
1025,3.0
1026,9.0
1027,5.0
1028,9.0
1029,7.0
1030,10.0
1031,7.0
1032,8.0
1033,11.0
1034,8.0
1035,10.0
1036,10.0
1037,6.0
1038,5.0
1039,8.0
1040,8.0
1041,5.0
1042,9.0
1043,4.0
1044,7.0
1045,5.0
1046,5.0
1047,6.0
1048,8.0
1049,-1.0
1050,1.0
1051,7.0
1052,5.0
1053,8.0
1054,11.0
1055,10.0
1056,11.0
1057,9.0
1058,10.0
1059,-4.0
1060,8.0
1061,8.0
1062,9.0
1063,5.0
1064,4.0
1065,5.0
1066,7.0
1067,9.0
1068,11.0
1069,7.0
1070,5.0
1071,5.0
1072,8.0
1073,4.0
1074,8.0
1075,10.0
1076,7.0
1077,6.0
1078,11.0
1079,7.0
1080,10.0
1081,2.0
1082,9.0
1083,11.0
1084,6.0
1085,2.0
1086,-6.0
1087,15.0
1088,8.0
1089,11.0
1090,9.0
1091,13.0
1092,9.0
1093,6.0
1094,-5.0
1095,3.0
1096,4.0
1097,13.0
1098,9.0
1099,9.0
1100,4.0
1101,6.0
1102,9.0
1103,8.0
1104,2.0
1105,10.0
1106,5.0
1107,3.0
1108,8.0
1109,8.0
1110,8.0
1111,5.0
1112,7.0
1113,8.0
1114,8.0
1115,9.0
1116,7.0
1117,10.0
1118,6.0
1119,5.0
1120,6.0
1121,12.0
1122,8.0
1123,10.0
1124,7.0
1125,10.0
1126,-7.0
1127,10.0
1128,10.0
1129,10.0
1130,6.0
1131,12.0
1132,11.0
1133,8.0
1134,-3.0
1135,11.0
1136,11.0
1137,8.0
1138,8.0
1139,0.0
1140,15.0
1141,9.0
1142,4.0
1143,3.0
1144,10.0
1145,11.0
1146,5.0
1147,10.0
1148,7.0
1149,7.0
1150,6.0
1151,8.0
1152,10.0
1153,6.0
1154,5.0
1155,8.0
1156,8.0
1157,9.0
1158,3.0
1159,11.0
1160,4.0
1161,5.0
1162,6.0
1163,9.0
1164,5.0
1165,7.0
1166,8.0
1167,8.0
1168,8.0
1169,12.0
1170,7.0
1171,12.0
1172,7.0
1173,8.0
