,a0.1_g1,a0.1_g0.9,a0.1_g0.8,a0.1_g0.7,a0.2_g1,a0.2_g0.9,a0.2_g0.8,a0.2_g0.7,a0.3_g1,a0.3_g0.9,a0.3_g0.8,a0.3_g0.7
0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0
1,-758.0,-758.0,-758.0,-758.0,-758.0,-758.0,-758.0,-758.0,-758.0,-758.0,-758.0,-758.0
2,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0
3,-857.0,-857.0,-857.0,-857.0,-857.0,-857.0,-857.0,-857.0,-857.0,-857.0,-857.0,-857.0
4,-767.0,-767.0,-767.0,-767.0,-767.0,-767.0,-767.0,-767.0,-767.0,-767.0,-767.0,-767.0
5,-848.0,-848.0,-848.0,-848.0,-848.0,-848.0,-848.0,-848.0,-848.0,-848.0,-848.0,-848.0
6,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0
7,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0
8,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0
9,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0
10,-740.0,-740.0,-740.0,-740.0,-740.0,-740.0,-740.0,-740.0,-740.0,-740.0,-740.0,-740.0
11,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0
12,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0
13,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0,-749.0
14,-731.0,-731.0,-731.0,-731.0,-731.0,-731.0,-731.0,-731.0,-731.0,-731.0,-731.0,-731.0
15,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0
16,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0
17,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0,-776.0
18,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0
19,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0
20,-713.0,-713.0,-713.0,-713.0,-713.0,-713.0,-713.0,-713.0,-713.0,-713.0,-713.0,-713.0
21,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0
22,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0
23,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0
24,-686.0,-686.0,-686.0,-686.0,-686.0,-686.0,-686.0,-686.0,-686.0,-686.0,-686.0,-686.0
25,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0
26,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0,-614.0
27,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0,-668.0
28,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0
29,-785.0,-785.0,-785.0,-785.0,-785.0,-785.0,-785.0,-785.0,-785.0,-785.0,-785.0,-785.0
30,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0
31,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0
32,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0,-722.0
33,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0
34,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0
35,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0,-677.0
36,-355.0,-355.0,-355.0,-355.0,-355.0,-355.0,-355.0,-355.0,-355.0,-355.0,-355.0,-355.0
37,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0
38,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0
39,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0
40,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0,-632.0
41,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0,-659.0
42,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0
43,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0
44,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0
45,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0,-641.0
46,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0,-596.0
47,-451.0,-451.0,-451.0,-451.0,-451.0,-451.0,-451.0,-451.0,-451.0,-451.0,-451.0,-451.0
48,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0
49,-587.0,-587.0,-587.0,-587.0,-587.0,-587.0,-587.0,-587.0,-587.0,-587.0,-587.0,-587.0
50,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0
51,-569.0,-569.0,-569.0,-569.0,-569.0,-569.0,-569.0,-569.0,-569.0,-569.0,-569.0,-569.0
52,-209.0,-209.0,-209.0,-209.0,-209.0,-209.0,-209.0,-209.0,-209.0,-209.0,-209.0,-209.0
53,-551.0,-551.0,-551.0,-551.0,-551.0,-551.0,-551.0,-551.0,-551.0,-551.0,-551.0,-551.0
54,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0
55,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0
56,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0
57,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0,-704.0
58,-578.0,-578.0,-578.0,-578.0,-578.0,-578.0,-578.0,-578.0,-578.0,-578.0,-578.0,-578.0
59,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0,-650.0
60,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0
61,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0
62,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0
63,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0
64,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0,-695.0
65,-384.0,-384.0,-384.0,-384.0,-384.0,-384.0,-384.0,-384.0,-384.0,-384.0,-384.0,-384.0
66,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0
67,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0
68,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0,-605.0
69,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0
70,-506.0,-506.0,-506.0,-506.0,-506.0,-506.0,-506.0,-506.0,-506.0,-506.0,-506.0,-506.0
71,-381.0,-381.0,-381.0,-381.0,-381.0,-381.0,-381.0,-381.0,-381.0,-381.0,-381.0,-381.0
72,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0
73,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0
74,-479.0,-479.0,-479.0,-479.0,-479.0,-479.0,-479.0,-479.0,-479.0,-479.0,-479.0,-479.0
75,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0
76,-191.0,-191.0,-191.0,-191.0,-191.0,-191.0,-191.0,-191.0,-191.0,-191.0,-191.0,-191.0
77,-206.0,-206.0,-206.0,-206.0,-206.0,-206.0,-206.0,-206.0,-206.0,-206.0,-206.0,-206.0
78,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0
79,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0
80,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0,-488.0
81,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0
82,-72.0,-72.0,-72.0,-72.0,-72.0,-72.0,-72.0,-72.0,-72.0,-72.0,-72.0,-72.0
83,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0
84,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0
85,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0
86,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
87,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0
88,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0
89,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0
90,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0
91,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0
92,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0
93,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0
94,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0
