,a0.1_g1,a0.1_g0.9,a0.1_g0.8,a0.1_g0.7,a0.2_g1,a0.2_g0.9,a0.2_g0.8,a0.2_g0.7,a0.3_g1,a0.3_g0.9,a0.3_g0.8,a0.3_g0.7,a0.4_g1,a0.4_g0.9,a0.4_g0.8,a0.4_g0.7
0,-839.0,-623.0,-704.0,-776.0,-812.0,-893.0,-767.0,-767.0,-749.0,-749.0,-695.0,-821.0,-875.0,-758.0,-857.0,-758.0
1,-839.0,-740.0,-848.0,-812.0,-902.0,-307.0,-866.0,-839.0,-639.0,-704.0,-884.0,-893.0,-740.0,-884.0,-812.0,-857.0
2,-776.0,-758.0,-875.0,-740.0,-731.0,-731.0,-794.0,-821.0,-839.0,-713.0,-875.0,-749.0,-803.0,-740.0,-857.0,-929.0
3,-803.0,-839.0,-292.0,-812.0,-839.0,-848.0,-794.0,-803.0,-659.0,-893.0,-758.0,-614.0,-731.0,-670.0,-803.0,-573.0
4,-821.0,-758.0,-722.0,-776.0,-731.0,-776.0,-776.0,-740.0,-812.0,-767.0,-749.0,-385.0,-776.0,-758.0,-767.0,-686.0
5,-767.0,-621.0,-785.0,-839.0,-830.0,-785.0,-695.0,-794.0,-794.0,-875.0,-749.0,-893.0,-848.0,-884.0,-677.0,-893.0
6,-767.0,-632.0,-695.0,-740.0,-651.0,-875.0,-803.0,-731.0,-686.0,-794.0,-624.0,-794.0,-767.0,-776.0,-740.0,-803.0
7,-821.0,-722.0,-803.0,-650.0,-288.0,-749.0,-731.0,-731.0,-695.0,-758.0,-785.0,-803.0,-758.0,-776.0,-740.0,-758.0
8,-731.0,-722.0,-821.0,-731.0,-857.0,-785.0,-695.0,-704.0,-821.0,-659.0,-749.0,-794.0,-713.0,-623.0,-704.0,-785.0
9,-659.0,-686.0,-821.0,-722.0,-875.0,-794.0,-740.0,-731.0,-731.0,-677.0,-776.0,-740.0,-677.0,-713.0,-713.0,-749.0
10,-758.0,-785.0,-677.0,-632.0,-595.0,-821.0,-857.0,-785.0,-695.0,-641.0,-695.0,-722.0,-884.0,-776.0,-866.0,-695.0
11,-794.0,-731.0,-666.0,-713.0,-812.0,-839.0,-713.0,-731.0,-632.0,-767.0,-839.0,-776.0,-713.0,-631.0,-713.0,-686.0
12,-695.0,-803.0,-686.0,-731.0,-749.0,-767.0,-812.0,-713.0,-659.0,-794.0,-749.0,-722.0,-650.0,-821.0,-695.0,-785.0
