,a0.1_g1,a0.1_g0.9,a0.1_g0.8,a0.1_g0.7,a0.2_g1,a0.2_g0.9,a0.2_g0.8,a0.2_g0.7,a0.3_g1,a0.3_g0.9,a0.3_g0.8,a0.3_g0.7
0,-830.0,-803.0,-686.0,-848.0,-767.0,-704.0,-821.0,-704.0,-821.0,-731.0,-713.0,-668.0
1,-812.0,-758.0,-794.0,-713.0,-767.0,-677.0,-794.0,-803.0,-803.0,-812.0,-884.0,-938.0
2,-794.0,-749.0,-767.0,-758.0,-866.0,-686.0,-830.0,-722.0,-821.0,-487.0,-857.0,-731.0
3,-668.0,-839.0,-812.0,-803.0,-758.0,-341.0,-749.0,-740.0,-866.0,-686.0,-830.0,-731.0
4,-704.0,-677.0,-776.0,-713.0,-848.0,-821.0,-713.0,-587.0,-803.0,-794.0,-821.0,-857.0
5,-749.0,-794.0,-830.0,-758.0,-740.0,-884.0,-731.0,-695.0,-704.0,-749.0,-704.0,-884.0
6,-776.0,-812.0,-785.0,-740.0,-740.0,-419.0,-246.0,-731.0,-664.0,-866.0,-794.0,-695.0
7,-704.0,-731.0,-767.0,-749.0,-839.0,-803.0,-794.0,-731.0,-839.0,-722.0,-677.0,-776.0
8,-767.0,-794.0,-731.0,-830.0,-740.0,-812.0,-785.0,-803.0,-794.0,-704.0,-740.0,-740.0
9,-615.0,-749.0,-857.0,-812.0,-641.0,-767.0,-731.0,-659.0,-758.0,-776.0,-493.0,-767.0
10,-803.0,-722.0,-785.0,-713.0,-686.0,-650.0,-812.0,-749.0,-812.0,-695.0,-713.0,-686.0
11,-749.0,-758.0,-697.0,-641.0,-794.0,-821.0,-722.0,-695.0,-767.0,-758.0,-695.0,-758.0
12,-758.0,-731.0,-677.0,-722.0,-776.0,-749.0,-641.0,-650.0,-749.0,-866.0,-758.0,-767.0
13,-794.0,-731.0,-668.0,-776.0,-803.0,-668.0,-758.0,-767.0,-587.0,-417.0,-704.0,-812.0
